#"Step","Potential Energy (kJ/mole)","Temperature (K)"
3,-3204.7043495178223,341.3279191879078
6,-2934.6295413970947,224.7795927369453
9,-2894.519973754883,205.32359306722452
12,-2933.9514694213867,218.2043698366231
15,-2900.7176570892334,205.9542589489179
18,-2910.7046127319336,208.6362302587276
21,-2966.4592056274414,232.71843473271187
24,-2944.991859436035,225.55393109263323
27,-2911.4212646484375,214.07567356744386
30,-2958.508930206299,238.90244610073003
33,-2969.8621311187744,247.92450671683685
36,-2914.725528717041,231.6610647670997
39,-2932.5312156677246,245.11558373854646
42,-2986.5728511810303,268.7671341508875
45,-2911.487533569336,242.22407135859203
48,-2801.667263031006,197.7222544161939
51,-2841.0831604003906,217.41027953283623
54,-2931.5905838012695,258.4333435976039
57,-2894.32186126709,247.08175603899278
60,-2824.964942932129,222.4344529572413
63,-2849.432605743408,238.42685154570046
66,-2879.712205886841,256.4241682809389
69,-2842.8784713745117,242.86525034818396
72,-2814.61030960083,235.29943549756402
75,-2810.873405456543,233.39854865855727
78,-2789.993965148926,226.3761096087146
81,-2801.3104314804077,228.68118785144156
84,-2864.7744693756104,257.31015255805426
87,-2903.4607276916504,276.0260209233471
90,-2898.6655197143555,275.49080787003135
93,-2904.842613220215,290.8499227566557
96,-2917.051278114319,294.4233772521838
99,-2897.1725997924805,282.63228844202547
102,-2882.9449710845947,277.5439464259071
105,-2872.7048950195312,276.60133900259143
108,-2819.3615188598633,254.91959167114646
111,-2739.0933265686035,221.28143487000906
114,-2708.884292602539,215.36327663369426
117,-2748.456943511963,232.7488692864644
120,-2807.2898597717285,257.68118327815193
123,-2833.9577560424805,268.6084080086556
126,-2829.2773475646973,270.27845567650775
129,-2830.461093902588,275.8646693403588
132,-2847.4074096679688,279.93922300621176
135,-2861.83504486084,288.1967993558318
138,-2858.8923721313477,288.5755876136823
141,-2852.6275730133057,291.7156713366308
144,-2842.3315620422363,290.82087905720675
147,-2817.0380005836487,285.72135220588444
150,-2784.3590507507324,274.32935822199755
153,-2791.490686416626,279.7281603854773
156,-2827.2731533050537,292.46246444820457
159,-2837.5772819519043,296.9844537694448
162,-2810.8740768432617,287.4361730451417
165,-2805.5593976974487,280.39518171589117
168,-2813.6320419311523,281.9669897054116
171,-2797.5791273117065,274.0845455991948
174,-2795.9024963378906,278.26726218684865
177,-2840.083882331848,296.32089399553365
180,-2852.163230895996,304.58140527789527
183,-2791.959785461426,288.20437775378934
186,-2761.277011871338,277.83263656276057
189,-2787.970392227173,294.893311882272
192,-2783.560691833496,295.7284291916341
195,-2772.963275909424,292.1548512967416
198,-2809.576092481613,311.39220075581983
201,-2815.33079457283,316.83808703584907
204,-2749.7061924934387,292.4357268638007
207,-2721.877763748169,283.8035154955788
210,-2762.117467880249,301.88655338001763
213,-2777.396551132202,307.8603772490564
216,-2745.8906860351562,292.23213939052005
219,-2757.778121948242,299.39592902138196
222,-2797.1162548065186,315.74234035298304
225,-2772.6178913116455,309.5319370560118
228,-2731.241466522217,288.6793886485276
231,-2756.5280961990356,304.3652447865711
234,-2767.855854034424,308.1261592612768
237,-2734.4693660736084,292.688931540707
240,-2740.35711145401,297.1094878393811
243,-2783.362473487854,315.1313621349039
246,-2814.593384742737,330.23308520051745
249,-2838.9612007141113,344.0123999883395
252,-2843.832042694092,350.9204512137492
255,-2804.4757118225098,331.6715676987994
258,-2762.792896270752,315.3501312712514
261,-2772.9988317489624,317.47834873847967
264,-2808.7914414405823,333.3277814191539
267,-2792.37330698967,327.77729437275894
270,-2753.759156227112,309.9406336763969
273,-2754.9257111549377,307.6295365640008
276,-2772.291533470154,319.5717262356503
279,-2756.121175765991,315.4804724631065
282,-2737.10951423645,307.7917676329416
285,-2753.6271467208862,317.12846757916964
288,-2776.7600593566895,337.14336866208816
291,-2756.020345211029,326.1403956572239
294,-2694.643587589264,303.99404616953626
297,-2652.6423444747925,286.27602357087767
300,-2667.786093711853,299.8239653521468
303,-2719.523241043091,325.7322216485581
306,-2753.118320465088,338.5310410092029
309,-2750.238597869873,338.60057836676594
312,-2751.828323364258,336.2968585866738
315,-2767.868984222412,348.7016085218846
318,-2765.762252807617,346.2889251295312
321,-2742.5541076660156,342.5049248463538
324,-2714.6411361694336,329.7184687594874
327,-2689.4495887756348,318.373794195636
330,-2680.7359046936035,308.015159658508
333,-2708.4971313476562,318.71504672421054
336,-2725.0149002075195,327.9299084987817
339,-2710.8328285217285,318.10384973722023
342,-2706.179530620575,308.2597180928266
345,-2719.605013847351,317.5227839728812
348,-2712.3985414505005,311.20458425528443
351,-2702.8310012817383,309.5615596380883
354,-2733.7447662353516,325.5982922817558
357,-2766.48423576355,339.14339393436137
360,-2726.256187438965,318.8259847067157
363,-2657.8739795684814,289.1101416148398
366,-2657.002469062805,288.1840349921144
369,-2706.465726852417,310.8820491739524
372,-2725.147762298584,318.7010984653457
375,-2716.697555541992,317.02815546693586
378,-2699.354164123535,312.5347414640357
381,-2665.3584365844727,303.69719909272544
384,-2635.2918643951416,290.0666587476302
387,-2647.666244506836,296.6851867408972
390,-2672.115222930908,306.9170292138947
393,-2695.626194000244,319.8135942759181
396,-2724.050178527832,333.43310841408095
399,-2733.778553009033,335.7612610302255
402,-2707.863655090332,327.75196350526136
405,-2699.294075012207,324.8652643906501
408,-2732.8541946411133,343.18031260636087
411,-2745.181198120117,350.61432862401404
414,-2709.8946266174316,337.63531689304455
417,-2683.5817070007324,327.83362547233804
420,-2691.6374740600586,332.33481909391196
423,-2671.8777360916138,323.38191150239646
426,-2625.0025386810303,306.211292576328
429,-2621.1037197113037,304.0049852190194
432,-2645.1250534057617,320.18082800636324
435,-2670.0838050842285,332.1591737373886
438,-2697.7026023864746,353.4155986192137
441,-2723.15145111084,365.48761615190654
444,-2743.7236862182617,369.23246760541537
447,-2742.5890350341797,364.66218486668777
450,-2718.0739822387695,356.5414436819725
453,-2702.9541931152344,347.32482687571974
456,-2704.921875,346.44358766902775
459,-2698.7734870910645,345.5525146953187
462,-2695.972801208496,340.24325991356875
465,-2696.9447021484375,344.70884431724875
468,-2681.9642219543457,340.1317432715426
471,-2659.0876998901367,334.15402302912025
474,-2669.7736740112305,341.87614129787835
477,-2698.969795227051,358.0502044120458
480,-2686.77970123291,347.0232835438391
483,-2656.0842933654785,335.3551887716873
486,-2666.1391639709473,340.206509761858
489,-2691.2072143554688,347.3756315539916
492,-2683.987823486328,342.64758298742953
495,-2671.880226135254,334.4065247597136
498,-2692.433692932129,351.5868525645273
501,-2698.8350868225098,358.3691351604946
504,-2688.4446601867676,357.2891367461359
507,-2697.102584838867,363.1048356410311
510,-2722.520309448242,373.26369602834063
513,-2721.9238471984863,366.44953317570054
516,-2678.249366760254,344.2294406854333
519,-2645.5354614257812,330.1739874797226
522,-2661.5792922973633,335.14804611548584
525,-2670.863956451416,339.872827743449
528,-2645.7684383392334,333.62655246105487
