#"Step","Potential Energy (kJ/mole)","Temperature (K)"
15000,-3137.9955654144287,894.6690983559696
30000,-3260.0761318206787,778.3864435371065
45000,-2965.343366622925,759.7295043084989
60000,-3127.6343688964844,793.6640445360752
75000,-2935.2103385925293,779.535795075017
90000,-2977.8310508728027,827.7536636904252
105000,-3027.640766143799,826.2881641799531
120000,-3095.452220916748,862.9658633488206
135000,-2996.8547763824463,820.2657997545805
150000,-2955.492504119873,856.4275074896967
165000,-3122.904052734375,797.8291032791291
180000,-3092.634265899658,836.3778005178582
195000,-2710.36665725708,815.1013722616053
210000,-2917.1253509521484,914.076605422072
225000,-2922.607421875,797.4430445712086
240000,-3096.327904701233,768.2308041241549
255000,-2825.62744808197,771.804216428463
270000,-2967.732131958008,797.5976684984739
285000,-3123.4216480255127,808.4465832870467
300000,-3045.013126373291,830.3457322753114
315000,-2965.430332183838,773.4007920004215
330000,-3051.3546857833862,797.4397138973733
345000,-3195.043689727783,776.7832221857672
360000,-3107.9132537841797,700.2894284879885
375000,-3246.1908569335938,747.2971585203985
390000,-2945.0855979919434,744.9668660821659
405000,-3183.050760269165,787.4535901777905
420000,-3003.27454662323,822.1833345241458
435000,-2924.8112411499023,779.6968730752645
450000,-3086.8330516815186,771.3990833696864
465000,-3097.472724914551,735.6933591983435
480000,-2975.8684482574463,744.7443015573916
495000,-2954.0180339813232,725.5749762892791
510000,-3027.3556518554688,721.6528390249873
525000,-2944.9336013793945,756.9057704349881
540000,-3073.852439880371,791.8559734966132
555000,-3008.1129512786865,692.777499521425
570000,-3080.5450868606567,756.4235850951775
585000,-3120.9066581726074,690.772972811527
600000,-3141.307176589966,646.0571989583887
615000,-3459.6127891540527,678.6803999425928
630000,-3222.0828742980957,701.4128417208854
645000,-3051.9446845054626,730.8431958463174
660000,-3310.874129295349,707.4656262971391
675000,-3122.086503982544,732.0661188222304
690000,-3232.150647163391,739.3260133729475
705000,-3151.2641792297363,755.7783369010082
720000,-3141.6156311035156,819.8437568366869
735000,-3226.8383255004883,766.6610171032439
750000,-3107.7437896728516,765.4402369462086
765000,-3277.8121280670166,741.5482587268892
780000,-3348.580207824707,660.5064983156442
795000,-3221.749839782715,702.3013884963805
810000,-3148.889904022217,718.2605275034852
825000,-3302.942804336548,709.618144366259
840000,-3298.7197761535645,707.0360545099296
855000,-3189.3721313476562,676.5124966196796
870000,-3141.9619216918945,643.8427896806141
885000,-3162.7955741882324,715.0678160747964
900000,-3419.6661529541016,686.696656258029
915000,-3255.839611053467,718.2555353121697
930000,-3474.923028945923,675.1325914356274
945000,-3237.4699516296387,657.6484592423388
960000,-3164.7808723449707,759.4023035912569
975000,-3131.4779295921326,666.4468994790564
990000,-3256.3063526153564,657.9134012418438
1005000,-3354.2210388183594,672.1586862408004
1020000,-3387.280385017395,677.2481802809792
1035000,-3362.972023010254,637.2563317961958
1050000,-3302.6954669952393,615.6048664605264
1065000,-3376.225877761841,715.2766036914596
1080000,-3522.0117015838623,705.7924221324259
1095000,-3447.8444786071777,700.1441033926213
1110000,-3411.7475605010986,687.2090911275776
1125000,-3432.1422271728516,698.2067208042112
1140000,-3362.3638648986816,675.368126862668
1155000,-3451.0104446411133,675.6119479855266
1170000,-3432.3180351257324,645.9391311806921
1185000,-3384.9110794067383,728.6680982074618
1200000,-3470.1715812683105,640.4940385112893
1215000,-3308.6627044677734,676.7231140441294
1230000,-3397.91157913208,676.2596418702
1245000,-3545.4663791656494,624.7437114248775
1260000,-3463.9513297080994,715.4467675205764
1275000,-3322.583101272583,675.5649034834028
1290000,-3548.2305641174316,649.2342168622133
1305000,-3394.8231058120728,614.8678834003622
1320000,-3467.1314239501953,690.377222606568
1335000,-3357.667187690735,641.7276005965593
1350000,-3426.4558181762695,675.8885833237023
1365000,-3421.3760266304016,670.7161332076668
1380000,-3450.2916717529297,654.873289321667
1395000,-3542.59672164917,612.7856740552869
1410000,-3584.225221633911,693.858573606997
1425000,-3457.220841407776,634.711660234079
1440000,-3498.3539237976074,642.2312876868667
1455000,-3421.3204231262207,644.4530052956995
1470000,-3454.7238931655884,685.8076627454162
1485000,-3423.927837371826,610.5402335100501
1500000,-3567.864528656006,634.4019742553445
1515000,-3426.4256954193115,617.9762234964165
1530000,-3371.3191242218018,637.9329610408012
1545000,-3486.6575984954834,707.7124957198565
1560000,-3552.488609313965,678.4219417024059
1575000,-3385.282543182373,541.3798134815881
1590000,-3431.5576362609863,615.5160157271176
1605000,-3392.2520637512207,683.6289844227713
1620000,-3263.0760884284973,682.8236125230566
1635000,-3558.200521469116,637.2463026910497
1650000,-3556.9157543182373,642.2992887881882
1665000,-3605.097593307495,642.8748190926999
1680000,-3372.0105209350586,594.005434030687
1695000,-3421.572998046875,649.841421735245
1710000,-3544.5904273986816,653.5265461094815
1725000,-3532.4887199401855,647.0468098607807
1740000,-3447.4881801605225,628.0738135067357
1755000,-3489.541763305664,660.5007452123341
1770000,-3572.5112686157227,593.385256394637
1785000,-3486.6482639312744,702.0249018167643
1800000,-3593.345657348633,695.9821873523819
1815000,-3566.747854232788,643.0301141376297
1830000,-3535.027048110962,617.6501023840824
1845000,-3579.6649141311646,619.8156976990641
1860000,-3489.2049112319946,521.9390057229431
1875000,-3522.9808349609375,636.6394749695486
1890000,-3447.8485145568848,611.0262521617143
1905000,-3520.138487815857,647.7521062053069
1920000,-3560.942741394043,642.2911687482441
1935000,-3527.0480728149414,672.1441086022389
1950000,-3686.624599456787,622.0834664493249
1965000,-3686.823320388794,627.3457866626547
1980000,-3610.3578186035156,592.3101235686553
1995000,-3544.2193489074707,586.7458853969868
2010000,-3543.6936378479004,624.217844832992
2025000,-3495.543014526367,605.3716919732769
2040000,-3561.9719095230103,540.7344363144704
2055000,-3657.532127380371,541.5488019227842
2070000,-3621.9700241088867,651.4458838260659
2085000,-3602.1132774353027,594.2941763742771
2100000,-3426.1252460479736,591.787553536823
2115000,-3571.660394668579,535.5524499321635
2130000,-3721.0547370910645,569.0990630252726
2145000,-3696.225595474243,602.1105152444627
2160000,-3654.7145557403564,662.6955895504182
2175000,-3600.951862335205,580.5162561354323
2190000,-3696.098960876465,589.0256954766942
2205000,-3704.5552768707275,576.4886701601969
2220000,-3625.8516235351562,577.675268927616
2235000,-3619.923134803772,599.8180997924825
2250000,-3608.243688583374,565.0471744535502
